node_num microseconds
25 39
50 178
75 377
100 535
125 492
150 1142
175 947
200 2138
225 2882
250 2641
275 2509
300 3328
325 3493
350 5817
375 6533
400 7386
425 6227
450 8350
475 8848
500 12019
525 10500
550 8911
575 10020
600 11069
625 11198
650 14342
675 13419
700 13156
725 13530
750 15305
775 16337
800 19007
825 22325
850 20479
875 21847
900 21809
925 23327
950 22921
975 24957
1000 29854
1025 33091
1050 30606
1075 31874
1100 28333
1125 35807
1150 41195
1175 42193
1200 39014
1225 42235
1250 38699
1275 43290
1300 45731
1325 44599
1350 54334
1375 50153
1400 56805
1425 52831
1450 62120
1475 58728
1500 56427
1525 61112
1550 58421
1575 68251
1600 70840
1625 66333
1650 74479
1675 70883
1700 74762
1725 86530
1750 82988
1775 77710
1800 79452
1825 88871
1850 89360
1875 102124
1900 135584
1925 97837
1950 92684
1975 103857
2000 96907
