node_num microseconds
25 58
50 120
75 254
100 402
125 584
150 609
175 1113
200 1431
225 1391
250 1396
275 1670
300 2532
325 3447
350 3995
375 4648
400 5765
425 7016
450 6784
475 9705
500 8217
525 10261
550 9779
575 10821
600 8499
625 11751
650 10440
675 11051
700 10349
725 11151
750 14086
775 15506
800 14097
825 14963
850 15988
875 20347
900 17549
925 19703
950 20236
975 23649
1000 25065
1025 24431
1050 30526
1075 25380
1100 26130
1125 27101
1150 27404
1175 28583
1200 34899
1225 32255
1250 32060
1275 37232
1300 35521
1325 39762
1350 38140
1375 40187
1400 44977
1425 48632
1450 43946
1475 57187
1500 45151
1525 49539
1550 52660
1575 52418
1600 52815
1625 60980
1650 62290
1675 58149
1700 60868
1725 66636
1750 62350
1775 67730
1800 68089
1825 74130
1850 80305
1875 76282
1900 79492
1925 83670
1950 77745
1975 78966
2000 83439
